City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
540,Gizo,SB,84.78,broken clouds,-8.103,156.8419,Imagination Island
541,Progreso,MX,78.01,clear sky,21.2833,-89.6667,Playa Linda Hotel
542,Celestun,MX,78.31,clear sky,20.8667,-90.4,Posada Lilia
543,Tautira,PF,81.09,clear sky,-17.7333,-149.15,Pension Oaoa
544,Dubbo,AU,82.53,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
547,Jacqueville,CI,80.2,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
548,Morant Bay,JM,80.22,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
551,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Lindsey Hôtel
552,Sao Filipe,CV,73.92,clear sky,14.8961,-24.4956,Hotel Xaguate
555,Kilindoni,TZ,81.41,overcast clouds,-7.9139,39.6668,Bustani B&B
557,Jizan,SA,76.44,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
558,Tezu,IN,85.77,broken clouds,27.9167,96.1667,Circuit House
561,Singkang,MY,85.3,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
563,Wanning,CN,77.0,scattered clouds,18.8003,110.3967,Paradise Hotel
564,Farafangana,MG,74.98,light rain,-22.8167,47.8333,Miarina
566,San Matias,BO,73.11,moderate rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
569,Huarmey,PE,73.51,overcast clouds,-10.0681,-78.1522,Hotel Miramar
575,Mecca,SA,64.69,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
